sample_fp	plate	cycle	well	tile	channel
/mnt/data/uluru/input_sbs/plate_1/c1/A1_21_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	21	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_21_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	21	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_22_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	22	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_22_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	22	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_22_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	22	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_22_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	22	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_22_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	22	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_23_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	23	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_23_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	23	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_23_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	23	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_23_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	23	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_23_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	23	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_24_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	24	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_24_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	24	561_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_24_0_Fluorescence_561_nm_Ex_-_2.tiff	1	1	A1	24	561_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_24_0_Fluorescence_638_nm_Ex_-_1.tiff	1	1	A1	24	638_nm_Ex_-_1
/mnt/data/uluru/input_sbs/plate_1/c1/A1_24_0_Fluorescence_638_nm_Ex_-_2.tiff	1	1	A1	24	638_nm_Ex_-_2
/mnt/data/uluru/input_sbs/plate_1/c1/A1_25_0_Fluorescence_405_nm_Ex.tiff	1	1	A1	25	405_nm_Ex
/mnt/data/uluru/input_sbs/plate_1/c1/A1_25_0_Fluorescence_561_nm_Ex_-_1.tiff	1	1	A1	25	561_nm_Ex_-_1
