plate	cycle	well	tile	channel
1	1	A2	15	561_nm_Ex_-_2
1	1	A2	15	638_nm_Ex_-_1
1	1	A2	15	638_nm_Ex_-_2
1	1	A2	16	405_nm_Ex
1	1	A2	16	561_nm_Ex_-_1
1	1	A2	16	561_nm_Ex_-_2
1	1	A2	16	638_nm_Ex_-_1
1	1	A2	16	638_nm_Ex_-_2
1	1	A2	17	405_nm_Ex
1	1	A2	17	561_nm_Ex_-_1
1	1	A2	17	561_nm_Ex_-_2
1	1	A2	17	638_nm_Ex_-_1
1	1	A2	17	638_nm_Ex_-_2
1	1	A2	18	405_nm_Ex
1	1	A2	18	561_nm_Ex_-_1
1	1	A2	18	561_nm_Ex_-_2
1	1	A2	18	638_nm_Ex_-_1
1	1	A2	18	638_nm_Ex_-_2
1	1	A2	19	405_nm_Ex
1	1	A2	19	561_nm_Ex_-_1
1	1	A2	19	561_nm_Ex_-_2
1	1	A2	19	638_nm_Ex_-_1
1	1	A2	19	638_nm_Ex_-_2
1	1	A2	20	405_nm_Ex
1	1	A2	20	561_nm_Ex_-_1
1	1	A2	20	561_nm_Ex_-_2
1	1	A2	20	638_nm_Ex_-_1
1	1	A2	20	638_nm_Ex_-_2
1	1	A2	21	405_nm_Ex
1	1	A2	21	561_nm_Ex_-_1
1	1	A2	21	561_nm_Ex_-_2
1	1	A2	21	638_nm_Ex_-_1
1	1	A2	21	638_nm_Ex_-_2
1	1	A2	22	405_nm_Ex
1	1	A2	22	561_nm_Ex_-_1
1	1	A2	22	561_nm_Ex_-_2
1	1	A2	22	638_nm_Ex_-_1
1	1	A2	22	638_nm_Ex_-_2
1	1	A2	23	405_nm_Ex
1	1	A2	23	561_nm_Ex_-_1
1	1	A2	23	561_nm_Ex_-_2
1	1	A2	23	638_nm_Ex_-_1
1	1	A2	23	638_nm_Ex_-_2
1	1	A2	24	405_nm_Ex
1	1	A2	24	561_nm_Ex_-_1
1	1	A2	24	561_nm_Ex_-_2
1	1	A2	24	638_nm_Ex_-_1
1	1	A2	24	638_nm_Ex_-_2
1	1	A2	25	405_nm_Ex
1	1	A2	25	561_nm_Ex_-_1
1	1	A2	25	561_nm_Ex_-_2
1	1	A2	25	638_nm_Ex_-_1
1	1	A2	25	638_nm_Ex_-_2
1	1	A2	26	405_nm_Ex
1	1	A2	26	561_nm_Ex_-_1
1	1	A2	26	561_nm_Ex_-_2
1	1	A2	26	638_nm_Ex_-_1
1	1	A2	26	638_nm_Ex_-_2
1	1	A2	27	405_nm_Ex
1	1	A2	27	561_nm_Ex_-_1
1	1	A2	27	561_nm_Ex_-_2
1	1	A2	27	638_nm_Ex_-_1
1	1	A2	27	638_nm_Ex_-_2
1	1	A2	28	405_nm_Ex
1	1	A2	28	561_nm_Ex_-_1
1	1	A2	28	561_nm_Ex_-_2
1	1	A2	28	638_nm_Ex_-_1
1	1	A2	28	638_nm_Ex_-_2
1	1	A2	29	405_nm_Ex
1	1	A2	29	561_nm_Ex_-_1
1	1	A2	29	561_nm_Ex_-_2
1	1	A2	29	638_nm_Ex_-_1
1	1	A2	29	638_nm_Ex_-_2
1	1	A2	30	405_nm_Ex
1	1	A2	30	561_nm_Ex_-_1
1	1	A2	30	561_nm_Ex_-_2
1	1	A2	30	638_nm_Ex_-_1
1	1	A2	30	638_nm_Ex_-_2
1	1	A2	31	405_nm_Ex
1	1	A2	31	561_nm_Ex_-_1
1	1	A2	31	561_nm_Ex_-_2
1	1	A2	31	638_nm_Ex_-_1
1	1	A2	31	638_nm_Ex_-_2
1	1	A2	32	405_nm_Ex
1	1	A2	32	561_nm_Ex_-_1
1	1	A2	32	561_nm_Ex_-_2
1	1	A2	32	638_nm_Ex_-_1
1	1	A2	32	638_nm_Ex_-_2
1	1	A2	33	405_nm_Ex
1	1	A2	33	561_nm_Ex_-_1
1	1	A2	33	561_nm_Ex_-_2
1	1	A2	33	638_nm_Ex_-_1
1	1	A2	33	638_nm_Ex_-_2
1	1	A2	34	405_nm_Ex
1	1	A2	34	561_nm_Ex_-_1
1	1	A2	34	561_nm_Ex_-_2
1	1	A2	34	638_nm_Ex_-_1
1	1	A2	34	638_nm_Ex_-_2
1	1	A2	35	405_nm_Ex
1	1	A2	35	561_nm_Ex_-_1
1	1	A2	35	561_nm_Ex_-_2
1	1	A2	35	638_nm_Ex_-_1
1	1	A2	35	638_nm_Ex_-_2
1	1	A2	36	405_nm_Ex
